name,year,lowermiddlequarter,suburb,incomeperstudent,fulltimenonteachers,state,schooltype,uppermiddlequarter,netrecurrentincome,topquarter,schoolsector,capitalexpenditure,icseavalue,fulltimeteachers,location,totalenrollments,bottomquarter,schoolheading,studentteacherratio,type,ratio,tophalf,midics,readingyear3,writingyear3,spellingyear3,grammaryear3,numeracyyear3,readingyear5,writingyear5,spellingyear5,grammaryear5,numeracyyear5,readingyear7,writingyear7,spellingyear7,grammaryear7,numeracyyear7,readingyear9,writingyear9,spellingyear9,grammaryear9,numeracyyear9,_merge,missy3,missy5,missy7,missy9,rawy3agg,rawy5agg,rawy7agg,rawy9agg,y3aggregate,y5aggregate,y7aggregate,y9aggregate,reporticsea,incomequartile,y3quartile,y3agg10,ics10,fitted
Dungowan Public School,2014,31,Dungowan,36067,0.9,NSW,Primary,25,1226293,7,Government,25678,966,2.5,Provincial,42,37,"Dungowan Public School, Dungowan, NSW",,Primary,16.79999924,0,below,411,416,410,444,442,503,362,411,523,478,,,,,,,,,,,3,0,0,5,5,2123,2277,,,2123,2277,,,report ICSEA,4 (highest income),4,21230,9660,"1,940.105957"
Dunkeld Consolidated School,2014,29,Dunkeld,10403,2.2,VIC,Primary,35,977917,21,Government,20449,1039,6.6,Provincial,100,16,"Dunkeld Consolidated School, Dunkeld, VIC",,Primary,15.15151501,1,above,409,409,394,432,441,487,492,468,478,484,,,,,,,,,,,3,0,0,5,5,2085,2409,,,2085,2409,,,report ICSEA,2,4,20850,10390,"2,082.296143"
Dunkeld State School,2014,52,Dunkeld,29505,1.5,QLD,Primary,24,354057,2,Government,1202,933,1,Remote,10,22,"Dunkeld State School, Dunkeld, QLD",,Primary,10,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9330,"1,875.828369"
Dunlea Centre,2014,,Australia's Original Boys' Town,69326,16.1,NSW,Special,,1802474,,Non-government,40128,,6,Metropolitan,33,,"Dunlea Centre, Australia's Original Boys' Town, Engadine, NSW",,Special,5.5,1,above,,,,,,,,,,,,,,,,528,491,538,548,528,3,5,5,5,0,,,,2633,,,,2633,no ICSEA,4 (highest income),,,,
Dunolly Primary School,2014,24,Dunolly,10257,2.5,VIC,Primary,11,830831,6,Government,7033,939,5.7,Provincial,85,59,"Dunolly Primary School, Dunolly, VIC",,Primary,14.91228104,0,below,335,338,325,311,387,500,504,497,514,518,,,,,,,,,,,3,0,0,5,5,1696,2533,,,1696,2533,,,report ICSEA,1 (lowest income),4,16960,9390,"1,887.515137"
Dunoon Public School,2014,17,Dunoon,13870,1.4,NSW,Primary,34,1026416,32,Government,15966,1062,5.1,Provincial,77,17,"Dunoon Public School, Dunoon, NSW",15.09803922,Primary,15.09803963,1,above,431,431,434,462,430,,,,,,,,,,,,,,,,3,0,5,5,5,2188,,,,2188,,,,report ICSEA,3,4,21880,10620,"2,127.095703"
Dunsborough Primary School,2014,31,Dunsborough,10846,16.2,WA,Primary,33,7253255,26,Government,58665,1056,37,Provincial,755,9,"Dunsborough Primary School, Dunsborough, WA",,Primary,20.40540504,1,above,445,427,413,439,422,513,488,481,502,485,552,521,553,556,552,,,,,,3,0,0,0,5,2146,2469,2734,,2146,2469,2734,,report ICSEA,2,4,21460,10560,"2,115.408691"
Dunwich State School,2014,31,Dunwich,18355,9.5,QLD,Primary,19,2532989,14,Government,29767,900,10.1,Metropolitan,146,36,"Dunwich State School, Dunwich, QLD",,Primary,14.45544529,0,below,449,400,449,481,409,486,452,484,506,482,530,525,559,536,587,,,,,,3,0,0,0,5,2188,2410,2737,,2188,2410,2737,,report ICSEA,4 (highest income),4,21880,9000,"1,811.550659"
Durack Primary School,2014,31,Durack,12993,8.4,NT,Primary,31,4212453,21,Government,91707,1016,19,Provincial,319,17,"Durack Primary School, Durack, NT",,Primary,16.78947449,1,above,438,398,407,442,425,475,438,472,488,475,,,,,,,,,,,3,0,0,5,5,2110,2348,,,2110,2348,,,report ICSEA,3,4,21100,10160,"2,037.49646"
Durack State School,2014,26,Durack,11221,18.1,QLD,Primary,16,5626333,7,Government,56616,939,35.7,Metropolitan,552,50,"Durack State School, Durack, QLD",,Primary,15.46218491,0,below,383,377,414,403,371,463,440,499,492,476,499,502,521,503,521,,,,,,3,0,0,0,5,1948,2370,2546,,1948,2370,2546,,report ICSEA,2,4,19480,9390,"1,887.515137"
Dural Public School,2014,14,Dural,8835,3.1,NSW,Primary,33,3852135,48,Government,51621,1105,21.5,Metropolitan,442,6,"Dural Public School, Dural, NSW",,Primary,20.5581398,1,above,429,396,424,437,412,573,521,572,601,571,,,,,,,,,,,3,0,0,5,5,2098,2838,,,2098,2838,,,report ICSEA,1 (lowest income),4,20980,11050,"2,210.851318"
Duranbah Public School,2014,25,Duranbah,19544,0.9,NSW,Primary,13,664507,1,Government,18735,898,2.4,Provincial,30,62,"Duranbah Public School, Duranbah, NSW",,Primary,12.5,0,below,344,352,362,242,393,,,,,,,,,,,,,,,,3,0,5,5,5,1693,,,,1693,,,,report ICSEA,4 (highest income),4,16930,8980,"1,807.655029"
Durham Road School,2014,,Bayswater,64660,85.9,WA,Special,,9314955,,Government,567582,,33.2,Metropolitan,168,,"Durham Road School, Bayswater, WA",,Special,5.060240746,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Duri Public School,2014,26,Duri,20843,0.9,NSW,Primary,23,562769,13,Government,7888,931,2.4,Provincial,32,38,"Duri Public School, Duri, NSW",,Primary,13.33333302,0,below,355,349,400,415,363,,,,,,,,,,,,,,,,3,0,5,5,5,1882,,,,1882,,,,report ICSEA,4 (highest income),4,18820,9310,"1,871.932739"
Durong South State School,2014,24,Durong,16997,2.4,QLD,Primary,17,543906,19,Government,3206,991,2.4,Provincial,32,40,"Durong South State School, Durong, QLD",,Primary,13.33333302,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9910,"1,988.80127"
Durrumbul Public School,2014,22,Durrumbul,24787,1,NSW,Primary,29,743624,45,Government,11974,1094,2.6,Provincial,35,5,"Durrumbul Public School, Durrumbul, NSW",,Primary,13.46153831,1,above,427,372,350,434,467,573,526,556,537,521,,,,,,,,,,,3,0,0,5,5,2050,2713,,,2050,2713,,,report ICSEA,4 (highest income),4,20500,10940,"2,189.425537"
Dutton Park State School,2014,9,Dutton Park,11482,9,QLD,Primary,22,3433213,62,Government,29954,1129,19.5,Metropolitan,307,6,"Dutton Park State School, Dutton Park, QLD",,Primary,15.7435894,1,above,427,360,407,423,392,542,482,534,553,511,602,557,564,602,587,,,,,,3,0,0,0,5,2009,2622,2912,,2009,2622,2912,,report ICSEA,2,4,20090,11290,"2,257.598877"
Duval High School,2014,25,Armidale,14772,10.1,NSW,Secondary,25,8807202,25,Government,337905,1007,44.2,Provincial,542,25,"Duval High School, Armidale, NSW",,Secondary,12.26244354,0,above,,,,,,,,,,,537,487,533,538,542,568,531,561,562,581,3,5,5,0,0,,,2637,2803,,,2637,2803,report ICSEA,3,,,10070,"2,019.966187"
Dwellingup Primary School,2014,30,Dwellingup,21236,2.8,WA,Primary,15,1445333,8,Government,11969,953,4.6,Provincial,66,46,"Dwellingup Primary School, Dwellingup, WA",,Primary,14.347826,0,below,,398,412,441,437,488,428,461,450,447,496,466,503,540,489,,,,,,3,1,0,0,5,1688,2274,2494,,,2274,2494,,report ICSEA,4 (highest income),,,9530,"1,914.784546"
Dysart State High School,2014,42,Dysart,21615,10.3,QLD,Secondary,17,3129918,4,Government,37856,969,14.6,Remote,134,37,"Dysart State High School, Dysart, QLD",,Secondary,9.178082466,0,below,,,,,,,,,,,,,,,,540,530,555,558,564,3,5,5,5,0,,,,2747,,,,2747,report ICSEA,4 (highest income),,,9690,"1,945.949463"
Dysart State School,2014,38,Dysart,10673,9.6,QLD,Primary,21,3895663,10,Government,148357,981,24,Remote,385,31,"Dysart State School, Dysart, QLD",,Primary,16.04166603,0,below,370,375,367,391,357,470,434,461,472,450,493,508,527,502,500,,,,,,3,0,0,0,5,1860,2287,2530,,1860,2287,2530,,report ICSEA,2,4,18600,9810,"1,969.32312"
E A Southee Public School,2014,27,Cootamundra,12325,2.4,NSW,Primary,15,2477383,6,Government,656050,936,11.3,Provincial,206,52,"E A Southee Public School, Cootamundra, NSW",,Primary,18.23008919,0,below,376,347,363,362,364,503,444,510,498,478,,,,,,,,,,,3,0,0,5,5,1812,2433,,,1812,2433,,,report ICSEA,2,4,18120,9360,"1,881.671753"
EDEN College,2014,,Macquarie Fields,24785,4.2,NSW,Special,,421345,,Non-government,70958,,4.3,Metropolitan,29,,"EDEN College, Macquarie Fields, NSW",,Special,6.744185925,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
ELTHAM College of Education,2014,11,Research,21694,41.7,VIC,Combined,29,14949439,58,Non-government,1687658,1135,63.1,Metropolitan,635,2,"ELTHAM College of Education, Research, VIC",,Combined,10.06339169,1,above,461,410,458,488,434,536,468,501,522,506,603,546,587,594,615,615,579,600,625,628,3,0,0,0,0,2251,2533,2945,3047,2251,2533,2945,3047,report ICSEA,4 (highest income),4,22510,11350,"2,269.285645"
ET Australia Secondary College,2014,,Gosford,13756,3.2,NSW,Special,,839146,,Non-government,137,,4.6,Metropolitan,65,,"ET Australia Secondary College, Gosford, NSW",,Special,14.13043499,1,above,,,,,,,,,,,,,,,,526,475,520,521,522,3,5,5,5,0,,,,2564,,,,2564,no ICSEA,3,,,,
Eagle Junction State School,2014,6,Clayfield,8887,14.4,QLD,Primary,21,7122316,71,Government,2797118,1158,49,Metropolitan,852,2,"Eagle Junction State School, Clayfield, QLD",,Primary,17.38775444,1,above,468,440,460,497,448,537,485,505,547,506,604,561,601,603,610,,,,,,3,0,0,0,5,2313,2580,2979,,2313,2580,2979,,report ICSEA,1 (lowest income),4,23130,11580,"2,314.085205"
Eagle Point Primary School,2014,33,Eagle Point,11527,3.8,VIC,Primary,21,1129621,14,Government,52687,991,7,Provincial,114,32,"Eagle Point Primary School, Eagle Point, VIC",,Primary,16.2857151,0,below,408,363,352,379,378,518,463,489,492,473,,,,,,,,,,,3,0,0,5,5,1880,2435,,,1880,2435,,,report ICSEA,2,4,18800,9910,"1,988.80127"
Eagle Vale High School,2014,24,Eagle Vale,15709,14.1,NSW,Secondary,12,9851372,4,Government,931312,921,54.8,Metropolitan,572,60,"Eagle Vale High School, Eagle Vale, NSW",,Secondary,10.43795586,0,below,,,,,,,,,,,497,465,523,501,497,535,471,570,519,552,3,5,5,0,0,,,2483,2647,,,2483,2647,report ICSEA,3,,,9210,"1,852.45459"
Eagleby South State School,2014,24,Eagleby,20318,14.3,QLD,Primary,10,6989258,2,Government,71126,888,28.8,Metropolitan,432,64,"Eagleby South State School, Eagleby, QLD",,Primary,15,0,below,346,347,363,345,338,417,426,468,453,420,507,501,517,516,493,,,,,,3,0,0,0,5,1739,2184,2534,,1739,2184,2534,,report ICSEA,4 (highest income),4,17390,8880,"1,788.177002"
Eagleby State School,2014,30,Eagleby,11212,15.1,QLD,Primary,15,4910690,3,Government,73195,936,30.6,Metropolitan,487,51,"Eagleby State School, Eagleby, QLD",15.91503268,Primary,15.91503239,0,below,375,360,357,385,357,459,442,459,470,445,492,466,495,485,492,,,,,,3,0,0,0,5,1834,2275,2430,,1834,2275,2430,,report ICSEA,2,4,18340,9360,"1,881.671753"
Eaglehawk North Primary School,2014,33,Eaglehawk,8858,5.7,VIC,Primary,16,2816938,4,Government,79585,958,22,Provincial,333,46,"Eaglehawk North Primary School, Eaglehawk, VIC",,Primary,15.13636398,0,below,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,,,,,,,,,report ICSEA,1 (lowest income),,,9580,"1,924.52356"
Eaglehawk Primary School,2014,25,Eaglehawk,11780,4.4,VIC,Primary,12,1519638,1,Government,1008793,913,8.9,Provincial,117,62,"Eaglehawk Primary School, Eaglehawk, VIC",,Primary,13.14606762,0,below,413,413,344,413,415,502,463,453,502,475,,,,,,,,,,,3,0,0,5,5,1998,2395,,,1998,2395,,,report ICSEA,2,4,19980,9130,"1,836.872192"
Eaglehawk Secondary College,2014,27,Eaglehawk,14080,16.6,VIC,Secondary,13,7772338,3,Government,302699,924,52.3,Provincial,576,57,"Eaglehawk Secondary College, Eaglehawk, VIC",11.01338432,Secondary,11.01338387,0,below,,,,,,,,,,,536,482,530,517,526,560,510,547,535,565,3,5,5,0,0,,,2591,2717,,,2591,2717,report ICSEA,3,,,9240,"1,858.298096"
Earlwood Public School,2014,17,Earlwood,10836,5.3,NSW,Primary,33,6934764,43,Government,134115,1094,44,Metropolitan,662,6,"Earlwood Public School, Earlwood, NSW",,Primary,15.04545498,1,above,449,433,469,462,423,545,511,568,562,564,,,,,,,,,,,3,0,0,5,5,2236,2750,,,2236,2750,,,report ICSEA,2,4,22360,10940,"2,189.425537"
Early Learners School,2014,,Altona North,,,VIC,Primary,,,,Non-government,,,,Metropolitan,,,"Early Learners School, Altona North, VIC",,Primary,,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,,,,,
Earnshaw State College,2014,30,Banyo,11900,22.8,QLD,Combined,26,7803793,11,Government,124130,986,49.1,Metropolitan,670,33,"Earnshaw State College, Banyo, QLD",,Combined,13.6456213,0,below,366,352,393,395,357,471,465,474,479,473,520,513,534,524,525,561,523,576,562,560,3,0,0,0,0,1863,2362,2616,2782,1863,2362,2616,2782,report ICSEA,2,4,18630,9860,"1,979.062134"
East Adelaide School,2014,11,Saint Peters,9521,9.2,SA,Primary,27,5864643,57,Government,87385,1126,32.7,Metropolitan,621,5,"East Adelaide School, Saint Peters, SA",,Primary,18.99082565,1,above,461,435,462,474,418,541,511,534,551,515,574,544,586,577,551,,,,,,3,0,0,0,5,2250,2652,2832,,2250,2652,2832,,report ICSEA,1 (lowest income),4,22500,11260,"2,251.755371"
East Beechboro Primary School,2014,35,Beechboro,11771,12.9,WA,Primary,22,4638961,8,Government,62229,966,22,Metropolitan,449,35,"East Beechboro Primary School, Beechboro, WA",,Primary,20.40909004,0,below,396,436,437,449,417,442,455,461,459,461,524,499,536,529,535,,,,,,3,0,0,0,5,2135,2278,2623,,2135,2278,2623,,report ICSEA,2,4,21350,9660,"1,940.105957"
East Bentleigh Primary School,2014,16,East Bentleigh,9422,10.6,VIC,Primary,36,2741824,43,Government,54849,1093,18.4,Metropolitan,317,4,"East Bentleigh Primary School, East Bentleigh, VIC",,Primary,17.22826004,1,above,472,406,418,434,442,556,452,471,511,508,,,,,,,,,,,3,0,0,5,5,2172,2498,,,2172,2498,,,report ICSEA,1 (lowest income),4,21720,10930,"2,187.477783"
East Brisbane State School,2014,15,East Brisbane,14986,8.8,QLD,Primary,27,2952231,47,Government,1176928,1081,14.7,Metropolitan,202,11,"East Brisbane State School, East Brisbane, QLD",,Primary,13.74149704,1,above,456,423,432,459,422,544,478,508,515,505,543,504,545,550,552,,,,,,3,0,0,0,5,2192,2550,2694,,2192,2550,2694,,report ICSEA,3,4,21920,10810,"2,164.104004"
East Butler Primary School,2014,32,Butler,9682,24.8,WA,Primary,30,7604267,12,Government,105350,1004,41.6,Metropolitan,758,27,"East Butler Primary School, Butler, WA",,Primary,18.22115326,0,below,393,402,395,394,378,472,452,484,494,474,528,502,538,516,516,,,,,,3,0,0,0,5,1962,2376,2600,,1962,2376,2600,,report ICSEA,1 (lowest income),4,19620,10040,"2,014.122681"
East Devonport Primary School,2014,20,East Devonport,13035,13.6,TAS,Primary,8,3722741,2,Government,0,875,18,Provincial,278,69,"East Devonport Primary School, East Devonport, TAS",,Primary,15.44444466,0,below,385,357,391,381,360,456,433,476,445,450,,,,,,,,,,,3,0,0,5,5,1874,2260,,,1874,2260,,,report ICSEA,3,4,18740,8750,"1,762.855469"
East Doncaster Secondary College,2014,20,Doncaster East,10198,40,VIC,Secondary,35,15622825,36,Government,164354,1076,106.1,Metropolitan,1532,10,"East Doncaster Secondary College, Doncaster East, VIC",,Secondary,14.43920803,1,above,,,,,,,,,,,567,539,567,565,582,609,584,613,605,641,3,5,5,0,0,,,2820,3052,,,2820,3052,report ICSEA,1 (lowest income),,,10760,"2,154.36499"
East Fremantle Primary School,2014,7,Fremantle,11141,9.6,WA,Primary,18,4358303,72,Government,8283,1159,21.5,Metropolitan,432,2,"East Fremantle Primary School, Fremantle, WA",,Primary,20.0930233,1,above,490,435,457,503,433,561,521,523,547,536,599,565,572,619,634,,,,,,3,0,0,0,5,2318,2688,2989,,2318,2688,2989,,report ICSEA,2,4,23180,11590,"2,316.032959"
East Gippsland Specialist School,2014,,Bairnsdale,33137,27.4,VIC,Special,,4208359,,Government,40473,,13,Provincial,123,,"East Gippsland Specialist School, Bairnsdale, VIC",,Special,9.461538315,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
East Hamersley Primary School,2014,27,Hamersley,14062,3.8,WA,Primary,32,2313179,31,Government,142923,1065,10.6,Metropolitan,186,10,"East Hamersley Primary School, Hamersley, WA",,Primary,17.54717064,1,above,444,435,466,480,462,492,461,491,484,492,601,560,589,602,593,,,,,,3,0,0,0,5,2287,2420,2945,,2287,2420,2945,,report ICSEA,3,4,22870,10650,"2,132.938965"
East Hamilton Hill Primary School,2014,32,Hamilton Hill,14343,7.4,WA,Primary,23,2530600,13,Government,12680,985,10.7,Metropolitan,165,31,"East Hamilton Hill Primary School, Hamilton Hill, WA",,Primary,15.42056084,0,below,400,423,420,444,407,507,505,500,515,476,515,493,528,507,506,,,,,,3,0,0,0,5,2094,2503,2549,,2094,2503,2549,,report ICSEA,3,4,20940,9850,"1,977.11438"
East Hills Boys High School,2014,29,Panania,11492,10.9,NSW,Secondary,26,9320073,14,Government,343199,996,60.3,Metropolitan,847,32,"East Hills Boys High School, Panania, NSW",,Secondary,14.0464344,0,below,,,,,,,,,,,527,492,550,527,549,581,547,608,582,622,3,5,5,0,0,,,2645,2940,,,2645,2940,report ICSEA,2,,,9960,"1,998.540283"
East Hills Girls Technology High School,2014,29,Panania,11453,11.8,NSW,Secondary,30,11219586,18,Government,368371,1021,66.4,Metropolitan,967,23,"East Hills Girls Technology High School, Panania, NSW",,Secondary,14.5632534,0,above,,,,,,,,,,,556,540,573,558,538,592,577,612,593,598,3,5,5,0,0,,,2765,2972,,,2765,2972,report ICSEA,2,,,10210,"2,047.235474"
East Hills Public School,2014,25,Panania,14232,4.8,NSW,Primary,24,1992475,16,Government,35237,989,10.1,Metropolitan,145,35,"East Hills Public School, Panania, NSW",,Primary,14.35643578,0,below,393,382,396,402,366,477,494,501,489,484,,,,,,,,,,,3,0,0,5,5,1939,2445,,,1939,2445,,,report ICSEA,3,4,19390,9890,"1,984.90564"
East Kalgoorlie Primary School,2014,,Kalgoorlie,28639,10.8,WA,Primary,,3534879,,Government,301594,,9.9,Provincial,126,,"East Kalgoorlie Primary School, Kalgoorlie, WA",,Primary,12.72727299,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
East Kenwick Primary School,2014,25,Kenwick,12831,12.4,WA,Primary,17,4812115,4,Government,48070,913,23.4,Metropolitan,422,54,"East Kenwick Primary School, Kenwick, WA",,Primary,18.03418732,0,below,349,330,357,345,338,441,423,461,448,445,498,474,492,479,496,,,,,,3,0,0,0,5,1719,2218,2439,,1719,2218,2439,,report ICSEA,3,4,17190,9130,"1,836.872192"
East Launceston Primary School,2014,20,East Launceston,10043,10.4,TAS,Primary,30,5551878,35,Government,0,1063,33.6,Provincial,605,14,"East Launceston Primary School, East Launceston, TAS",,Primary,18.00595284,1,above,486,432,453,473,454,517,469,504,521,495,,,,,,,,,,,3,0,0,5,5,2298,2506,,,2298,2506,,,report ICSEA,1 (lowest income),4,22980,10630,"2,129.043457"
East Loddon P-12 College,2014,35,Dingee,16669,7.9,VIC,Combined,24,3733895,7,Government,54159,975,25,Provincial,239,35,"East Loddon P-12 College, Dingee, VIC",9.56,Combined,9.56000042,0,below,434,430,415,410,406,519,487,509,511,509,550,511,544,531,548,590,503,588,558,593,3,0,0,0,0,2095,2535,2684,2832,2095,2535,2684,2832,report ICSEA,4 (highest income),4,20950,9750,"1,957.63623"
East Maddington Primary School,2014,27,Maddington,13209,16.8,WA,Primary,17,4834863,6,Government,46467,933,23.4,Metropolitan,378,50,"East Maddington Primary School, Maddington, WA",,Primary,16.15384674,0,below,376,340,391,365,346,475,439,485,475,472,504,468,508,495,502,,,,,,3,0,0,0,5,1818,2346,2477,,1818,2346,2477,,report ICSEA,3,4,18180,9330,"1,875.828369"
East Manjimup Primary School,2014,33,Manjimup,13135,10,WA,Primary,18,3970660,9,Government,71163,967,17.4,Provincial,304,41,"East Manjimup Primary School, Manjimup, WA",,Primary,17.47126389,0,below,401,392,386,411,410,466,452,463,473,457,536,521,548,534,533,,,,,,3,0,0,0,5,2000,2311,2672,,2000,2311,2672,,report ICSEA,3,4,20000,9670,"1,942.053833"
East Marden Primary School,2014,19,Campbelltown,9272,6.9,SA,Primary,33,5173535,39,Government,151893,1074,31,Metropolitan,574,9,"East Marden Primary School, Campbelltown, SA",,Primary,18.51612854,1,above,462,423,452,489,445,541,522,532,557,534,569,534,572,579,563,,,,,,3,0,0,0,5,2271,2686,2817,,2271,2686,2817,,report ICSEA,1 (lowest income),4,22710,10740,"2,150.469238"
East Murray Area School,2014,28,Mindarie,38372,6.1,SA,Combined,22,1511858,11,Government,3005,983,6.7,Provincial,40,40,"East Murray Area School, Mindarie, SA",,Combined,5.97014904,0,below,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,report ICSEA,4 (highest income),,,9830,"1,973.21875"
East Narrogin Primary School,2014,27,Narrogin,15138,12,WA,Primary,14,4119661,7,Government,510045,913,16.8,Provincial,273,51,"East Narrogin Primary School, Narrogin, WA",,Primary,16.25,0,below,352,351,356,365,370,458,436,432,443,429,516,490,500,522,505,,,,,,3,0,0,0,5,1794,2198,2533,,1794,2198,2533,,report ICSEA,3,4,17940,9130,"1,836.872192"
East Para Primary School,2014,38,Para Hills,9562,6.6,SA,Primary,25,4733326,7,Government,0,986,24.9,Metropolitan,484,31,"East Para Primary School, Para Hills, SA",,Primary,19.43775177,0,below,411,395,380,417,382,474,432,472,478,457,523,489,498,494,495,,,,,,3,0,0,0,5,1985,2313,2499,,1985,2313,2499,,report ICSEA,1 (lowest income),4,19850,9860,"1,979.062134"
East Preston Islamic College,2014,29,East Preston,13170,15.8,VIC,Combined,18,6558785,5,Non-government,823210,950,52.4,Metropolitan,506,48,"East Preston Islamic College, East Preston, VIC",,Combined,9.656488419,0,below,381,389,417,412,380,455,454,501,472,456,489,467,477,464,474,520,507,526,521,531,3,0,0,0,0,1979,2338,2371,2605,1979,2338,2371,2605,report ICSEA,3,4,19790,9500,"1,908.94104"
East Sydney Community-Based High School,2014,,Darlinghurst,24355,1,NSW,Secondary,,633219,,Non-government,9943,,4,Metropolitan,22,,"East Sydney Community-Based High School, Darlinghurst, NSW",5.5,Secondary,5.5,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
East Tamar Primary School,2014,20,Mayfield,,12.1,TAS,Primary,7,,2,Government,,883,23.2,Provincial,346,72,"East Tamar Primary School, Mayfield, TAS",,Primary,14.91379356,0,below,382,358,352,368,345,448,408,446,412,429,,,,,,,,,,,3,0,0,5,5,1805,2143,,,1805,2143,,,report ICSEA,,4,18050,8830,"1,778.437866"
East Torrens Primary School,2014,23,Hectorville,15243,11.8,SA,Primary,34,4786236,21,Government,0,1020,24,Metropolitan,293,22,"East Torrens Primary School, Hectorville, SA",,Primary,12.20833302,1,above,365,341,395,329,358,433,412,447,435,433,504,479,508,499,503,,,,,,3,0,0,0,5,1788,2160,2493,,1788,2160,2493,,report ICSEA,3,4,17880,10200,"2,045.28772"
East Ulverstone Primary School,2014,28,Ulverstone,10836,7.3,TAS,Primary,17,2416410,7,Government,0,950,13.7,Provincial,235,48,"East Ulverstone Primary School, Ulverstone, TAS",,Primary,17.15328407,0,below,399,374,392,395,376,481,458,488,479,476,,,,,,,,,,,3,0,0,5,5,1936,2382,,,1936,2382,,,report ICSEA,2,4,19360,9500,"1,908.94104"
East Victoria Park Education Support Centre,2014,,East Victoria Park,81208,8.7,WA,Special,,1299327,,Government,26,,3.1,Metropolitan,12,,"East Victoria Park Education Support Centre, East Victoria Park, WA",,Special,3.870967627,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
East Victoria Park Primary School,2014,19,East Victoria Park,12403,11.6,WA,Primary,28,4045799,39,Government,34422,1066,19.2,Metropolitan,345,14,"East Victoria Park Primary School, East Victoria Park, WA",,Primary,17.96875,1,above,414,399,409,424,394,507,454,504,519,481,525,518,528,519,514,,,,,,3,0,0,0,5,2040,2465,2604,,2040,2465,2604,,report ICSEA,2,4,20400,10660,"2,134.886963"
East Waikiki Primary School,2014,29,Cooloongup,11396,13.9,WA,Primary,17,5461152,5,Government,76135,909,29,Metropolitan,532,48,"East Waikiki Primary School, Cooloongup, WA",,Primary,18.34482765,0,below,381,378,387,377,344,444,434,460,439,427,533,497,534,516,499,,,,,,3,0,0,0,5,1867,2204,2579,,1867,2204,2579,,report ICSEA,2,4,18670,9090,"1,829.080933"
East Wanneroo Primary School,2014,34,Wanneroo,11766,9.4,WA,Primary,22,4616627,8,Government,16214,969,20.4,Metropolitan,405,36,"East Wanneroo Primary School, Wanneroo, WA",,Primary,19.85294151,0,below,406,391,400,407,392,491,459,496,497,467,534,524,536,532,532,,,,,,3,0,0,0,5,1996,2410,2658,,1996,2410,2658,,report ICSEA,2,4,19960,9690,"1,945.949463"
Eastbourne Primary School,2014,33,Rosebud,9449,7.8,VIC,Primary,13,4233333,5,Government,60395,950,27.4,Metropolitan,440,48,"Eastbourne Primary School, Rosebud, VIC",,Primary,16.05839348,0,below,399,385,367,400,391,489,451,472,472,478,,,,,,,,,,,3,0,0,5,5,1942,2362,,,1942,2362,,,report ICSEA,1 (lowest income),4,19420,9500,"1,908.94104"
Eastern Creek Public School,2014,31,Eastern Creek,9526,3.8,NSW,Primary,22,2752886,8,Government,82510,971,16.1,Metropolitan,273,40,"Eastern Creek Public School, Eastern Creek, NSW",,Primary,16.95652199,0,below,376,354,388,375,372,484,451,507,489,480,,,,,,,,,,,3,0,0,5,5,1865,2411,,,1865,2411,,,report ICSEA,1 (lowest income),4,18650,9710,"1,949.845093"
Eastern Fleurieu R-12 School,2014,31,Strathalbyn,12288,33.1,SA,Combined,27,13117586,13,Government,740255,999,79.2,Provincial,1214,29,"Eastern Fleurieu R-12 School, Strathalbyn, SA",,Combined,15.32828236,0,below,416,384,389,404,387,508,453,477,488,486,523,485,509,515,510,565,519,554,549,563,3,0,0,0,0,1980,2412,2542,2750,1980,2412,2542,2750,report ICSEA,2,4,19800,9990,"2,004.383667"
Eastern Goldfields College,2014,,Kalgoorlie,24347,18.2,WA,Secondary,,9471141,,Government,439410,,38,Provincial,436,,"Eastern Goldfields College, Kalgoorlie, WA",,Secondary,11.47368431,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Eastern Goldfields Education Support Centre,2014,,Kalgoorlie,66473,13.1,WA,Special,,1994185,,Government,19255,,6,Provincial,31,,"Eastern Goldfields Education Support Centre, Kalgoorlie, WA",,Special,5.166666508,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
